"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1974,0,1,0,60,0,2,5,7,0,0,0,"Armed Assault","Police","Argentina","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Religious Figures/Institutions","Argentina","Incendiary","Molotov Cocktail/Petrol Bomb","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Police","Argentina","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Journalists & Media","Argentina","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,4,0,0,0,0,0,0,0,"Assassination","Private Citizens & Property","Argentina","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","Argentina","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","Israel","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Business","United States","Incendiary","Unknown","South America","Red Flag (Venezuela)"
1974,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Government (Diplomatic)","Argentina","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","Argentina","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,4,0,0,1,1,0,0,1,"Hostage Taking (Kidnapping)","Government (General)","United States","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,4,0,0,1,1,0,0,0,"Hostage Taking (Barricade Incident)","Government (Diplomatic)","United States","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Government (General)","Argentina","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1974,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Private Citizens & Property","Argentina","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
